artist_name,painting,title,year,medium
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf053.jpg,Portrait of Death and Destruction,1998.0,Oil on canvas
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf157.jpg,Untitled,1990.0,Gouache and ink on paper
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf176.jpg,Faces,1998.0,Oil on canvas
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf014.jpg,50 Years of Independence,,Acrylic on canvas
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf027.jpg,Untitled (Turmoil Series),2002.0,Oil on canvas
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf043.jpg,Untitled,,Acrylic on canvas
Amar Nath Sehgal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/e/sehgalan0001c.jpg,Cynic,1962.0,Bronze with marble base
Amar Nath Sehgal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/e/sehgalan0002c.jpg,Lovers,1980.0,Bronze with bronze base
Amar Nath Sehgal,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/e/sehgalan0003c.jpg,Ballerina,1995.0,Bronze with marble base
A. Ramachandran,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/ramachandran47.jpg,Nature I,1989.0,Ink on paper
A. Ramachandran,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/ramachandran56.jpg,Untitled,,Ink on paper
A. Ramachandran,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/ramachandran70.jpg,Kaleidoscope,1966.0,Oil on canvas
A. Ramachandran,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/ramachandran74.jpg,Gestures (Triptych),1966.0,
A. Ramachandran,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/ramachandran78.jpg,Untitled,1968.0,Etching on paper
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa_01c.jpg,Untitled,1969.0,
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa057.jpg,Sea of Life,1987.0,Oil on canvas
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa064_1.jpg,City,1958.0,Oil on Masonite board
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa100.jpg,Untitled,,Waterproof ink and marker on paper pasted on mount board
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa126.jpg,Untitled,,Waterproof ink and ink on paper pasted on paper
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa178.jpg,Untitled,,"Waterproof ink, marker, and brush and ink on paper"
Avinash Chandra,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chandraa614ny.jpg,Untitled (Houses in the Forest),1956.0,Oil on canvas
